rank,word_fr,word_en,tag,phrase_fr,phrase_en
1301,accomplir,to accomplish,v," il vous faut continuer, accomplir votre destinée "," you have to continue, to acomplish your destiny"
1302,décevoir,to disappoint,v, désolé de t'avoir déçue , sorry for having disappointed you 
1303,bataille,battle,nf, on obéit à tes ordres et la bataille est gagnée , we obey your orders and the battle is won 
1304,port,"harbour, port",nm, le dernier bateau quitte le port , the last boat left the port 
1305,naissance,birth,nf, l'histoire commence avec la naissance d'un enfant étrange , the story begins with the birth of a strange child
1306,majeur,major,nadj, c'est un enjeu économique majeur aujourd'hui , it's a major economic challenge today 
1307,froid,cold,nadj, dehors il fait froid , it's cold outside 
1308,hôpital,hospital,nm, le garçon est mort à l'hôpital , the boy died at the hospital 
1309,circuit,circuit,nm, ce circuit doit être libéré selon la procédure normale , this circuit must be discharged according to the normal procedure
1310,terrible,"terrible, dreadful",adj(f), c'était terrible! la situation était terrible , it was terrible! the situation was horrible 
1311,degré,degree,nm, il n'y a pas de degrés dans la sainteté , there are no degrees of holiness 
1312,exigence,"demand, strictness",nf, c'est une exigence impossible à respecter , it's a requirement impossible to meet 
1313,rêve,dream,nm, on attend maintenant que nos rêves se réalisent , now we're waiting for the fulfillment of our dreams
1314,inspirer,to inspire,v, considérons que les livres ont inspiré le tueur , let's assume that the books inspired the killer 
1315,opérer,"to operate, carry out",v, les grandes sociétés opèrent à l'échelle mondiale , large companies operate on a global scale 
1316,entièrement,"entirely, completely",adv, je suis entièrement d'accord avec vous , I completely agree with you 
1317,chapitre,chapter,nm, il reste un chapitre à écrire , one chapter remains to be written 
1318,quotidien,daily,nadj, elles apportent conseils dans les travaux ménagers quotidiens , they provide advice through their daily household chores
1319,clairement,clearly,adv, le rapport de force est clairement déséquilibré , the threat assessment is clearly skewed 
1320,joindre,to join,v, je serais très heureux si vous vous joigniez à moi pour dîner , I would be delighted if you would join me for supper
1321,léger,light,adj, d'un pas léger elle sortit de la bibliothèque , with airy steps she left the library 
1322,permanent,permanent,adj, ils vivent dans le climat permanent de la violence , they live in a permanent setting of violence
1323,juge,judge,"nm,nf", il reviendra alors au juge de décider , so it will be up to the judge to decide 
1324,après-midi,afternoon,nmi, j'ai passé l'après-midi avec des amis , I spent the afternoon with friends 
1325,russe,Russian,nadj(f), la Turquie est une destination privilégiée des touristes russes , Turkey is a privileged destination for Russian tourists
1326,juillet,July,nm, la réunion s'ouvrit le 17 juillet , the meeting began on July 17th 
1327,ordinaire,ordinary,nadj(f)," je suis un type ordinaire, un vrai type normal "," I'm an ordinary guy, a really normal guy "
1328,candidat,candidate,nm, nous avons un candidat que nous soutenons , we have a candidate who we support 
1329,rapprocher,"to bring closer, get closer",v, j'ai voulu me rapprocher de toi , I wanted to get closer to you 
1330,résistance,resistance,nf, sa résistance à la sonde mentale est considérable , his resistance to the mental probe is significant
1331,fier,to rely on; proud,"adj,v", je suis très fière de mon héritage , I'm very proud of my heritage 
1332,justement,"exactly, rightly, precisely",adv, j'étais justement en train de faire du thé , I was just making some tea 
1333,habitant,inhabitant,nm, les 200.000 habitants ont fui ," the 200,000 inhabitants fled "
1334,formule,"formula, expression",nf, je garderai toujours cette formule , I will always remember this expression 
1335,mur,wall,nm, il frappe le mur avec son doigt replié , he knocked on the wall with his knuckle 
1336,tribunal,court,nm, les tribunaux jouent un rôle essentiel , the courts play an essential role 
1337,journaliste,journalist,"nm,nf", ce journaliste a la double nationalité française et américaine , this journalist has dual French and American nationality
1338,manger,to eat,"nm,v"," avec votre maladie, vous pouvez manger de la viande? "," with your illness, can you eat meat? "
1339,soulever,to lift up,v," il sourit, tandis que le vent soulevait ses cheveux "," he smiled, the wind tossing his hair "
1340,évidemment,obviously,adv," en tout cas, évidemment, elles vous connaissent "," in any case, they obviously know you "
1341,travailleur,worker,nadj, il y avait huit travailleurs pour un retraité , there were eight workers per retired person 
1342,résolution,resolution,nf, il est important que nous adoptions cette résolution , it's important that we adopt this resolution
1343,dirigeant,leader,nadj, qu'est-il advenu des dirigeants militaires? , what ever happened to the military leaders? 
1344,marque,"brand, mark",nf, il y a des marques sur les portes , there are marks on the doors 
1345,utilisation,use,nf, je ne veux pas que l'utilisation des phtalates soit bannie , I don't want the use of phthalates to be banned
1346,offre,offer,nf, il n'y avait aucune offre d'emploi , there weren't any job offers 
1347,habituel,"customary, habitual",adj, ils font leur routine habituelle , they do their daily routine 
1348,survivre,to survive,v, il ne sait que faire pour survivre , he doesn't know what to do to survive 
1349,populaire,popular,nadj(f), j'ignorais que vous étiez si populaire! , I didn't know you were so popular 
1350,constitution,constitution,nf," premièrement, nous devons respecter la constitution "," first, we must respect the constitution "
1351,participation,participation,nf, comment qualifieriez-vous votre participation? , how would you characterize your participation?
1352,évolution,evolution,nf, la rapidité de cette évolution n'est pas surprenante , the swiftness of this evolution is not surprising
1353,totalement,totally,adv, les tribunaux russes sont totalement engorgés , the Russian court system is totally swamped 
1354,gérer,to manage,v, nous savons comment gérer l'éducation , we know how to manage education 
1355,samedi,Saturday,nm, elle organisera une fête samedi , she will organize a party on Sunday 
1356,informer,to inform,v, je t'informerai dès qu'ils l'auront repéré , I'll inform you as soon as they locate him 
1357,fou,"mad, crazy","adj,nm", tu es complètement fou , you are completely crazy 
1358,attacher,to attach,v, attachez vos ceintures. le spectacle commence , fasten your sealtbelts. the show is about to begin
1359,renouveler,to renew,v, nos synapses ne se renouvellent plus passé 20 ans , our synapses don't regenerate after the age of 20 years
1360,asseoir,to sit,v, il était assis devant moi , he was seated in front of me 
1361,oh,oh,intj, au secours! oh non! , help! oh no! 
1362,transfert,transfer,nm, le transfert aura lieu sous deux semaines , the transfer will take place in two weeks 
1363,renoncer,"to give up, renounce",v, elle avait renoncé à me convaincre , she gave up trying to convince me 
1364,roi,king,nm," une nuit, le roi lui apparut en rêve "," one night, the king appeared to him in a dream "
1365,soi,"one, oneself, self","nmi,pro"," il s'agissait enfin d'être soi, rien que soi "," in the end it was all about being oneself, nothing but oneself"
1366,téléphone,telephone,nm, les téléphones ne marchent pas , the telephones don't work 
1367,net,clear; Internet,"adj,nm", les Canadiens veulent des réponses bien nettes , the Canadians want very clear answers 
1368,foi,faith,nf, tu as la foi...nous avons tous besoin de foi , you have faith...we all need faith 
1369,motif,"motive, purpose",nm, je ne voyais aucun motif de refus , I didn't see any reason for refusal 
1370,plaindre,"to pity, feel sorry for, complain",v, elle ne se plaignait pas; mais elle détestait faire le ménage ," she didn't complain, but she detested housework"
1371,tradition,tradition,nf, il faut s'enraciner dans ses traditions , you have to be rooted in your traditions 
1372,institut,institute,nm," à l'institut, j'ai été formée à l'orthophonie ", at the institute I majored in speech therapy 
1373,victoire,victory,nf," beau match. enfin, une victoire "," nice game. finally, a victory "
1374,arrêt,stop,nm, l'arrêt cardiaque est un état de mort apparente , a heart attack is a state of apparent death 
1375,concours,"entrance exam, competition",nm(pl), vous avez gagné le concours? , did you win the competition? 
1376,vis-à-vis,"face to face, regarding","nmpl,prep", il reprenait sa liberté vis-à-vis de moi , he regained his freedom from me 
1377,aboutir,"to succeed, end up at",v, ce projet n'a pourtant pas abouti ," this project didn't end, however "
1378,visiter,to visit,v, nous allons visiter la maison , we're going to visit the house 
1379,elle-même,"herself, itself",pro, la révolte n'est pas en elle-même un élément de civilisation , rebellion is not by itself an element of civilization
1380,démocratique,democratic,adj(f), il ne respecte pas le processus démocratique , he doesn't respect the democratic process 
1381,tentative,attempt,nf," à la troisième tentative, l'homme part le premier "," on the third attempt, the man left first "
1382,largement,widely,adv, on doit payer largement sa part d'impôt , you should pay the bulk of your taxes 
1383,échouer,to fail,v, tout ce que j'ai tenté a échoué , everything that I tried to do failed 
1384,désirer,to desire,v," ce que l'on désire, c'est éviter une surpollution ", what we want is to avoid rampant pollution 
1385,côte,coast,nf, on est basés sur la côte ouest , we're based on the west coast 
1386,génération,generation,nf, une nouvelle génération prend le pouvoir , a new generation takes over 
1387,vent,wind,nm, dans la rue il faisait du vent , it was windy in the street 
1388,technologie,technology,nf," en Chine, on utilise cette technologie depuis plus de 20 ans ", in China this technology has been used for over 20 years
1389,inquiéter,"to worry, disturb",v," et ça, ça m'inquiète un petit peu "," and this, this disturbs me a little bit "
1390,dépit,"spite, heartache",nm, j'ai ressenti un soulagement mêlé de dépit , I felt relief mixed with spite 
1391,équilibre,"balance, equilibrium",nm, j'aperçois une sorte d'équilibre qui peut durer longtemps , I sense a kind of equilibrium that may endure
1392,inquiet,"worried, anxious",nadj, tu as l'air inquiet , you seem anxious 
1393,obstacle,obstacle,nm, j'ai surmonté tous les obstacles , I overcame all the obstacles 
1394,réflexion,reflection,nf, elle le surprend en pleine réflexion , she surprised him as he was deep in thought 
1395,uniquement,only,adv, il a survécu uniquement avec la diète anticancéreuse , he only survived via the anti-cancer diet
1396,affecter,to affect,v, elles n'ont pas été affectées par l'accident , they weren't affected by the accident 
1397,revanche,revenge; return,nf," elle, en revanche, m'inspecta avec désinvolture "," she, in return, inspected me with detachment "
1398,ressembler,"to look like, resemble",v, celle-là ressemble à une intellectuel new-yorkaise , that one looks like she's a New York intellectual
1399,station,station,nf, il a traîné dans la station toute la journée , he lingered in the station all day 
1400,supporter,"to support, endure","nm,v"," des fois, je ne supporte pas la vie quotidienne ", sometimes I can't stand daily life 
1401,privé,private,nadj, c'est une fête privée ... vous ne pouvez pas venir , it's a private party ... you can't come 
1402,catégorie,category,nf, les autres catégories de l'entreprise sont concernées par cette démarche , the other kinds of companies are worried about this process
1403,mine,"mine; appearance, look, mien",nf, je haussai les épaules et fis mine de rire , I shrugged my shoulders and feigned laughing 
1404,législatif,legislative,nadj," en 1978, la gauche échoue aux législatives "," in 1978, the left lost in the legislative elections "
1405,ah,"ah, oh",intj, ah oui? tu commences à m'intéresser , oh yeah? you're starting to interest me 
1406,propriétaire,owner,"nm,nf", vous êtes le propriétaire des lieux? , you're the owner of this property? 
1407,favoriser,to favor,v, cela favorise le commerce et l'investissement , this favors trade and investment 
1408,priorité,priority,nf, il faut maintenant donner la priorité aux enfants , now we must give priority to the children 
1409,avion,plane,nm," en voiture, en avion, j'aime le mouvement "," in a car, in an airplane, I like motion "
1410,minimum,minimum,nadj, nos fabricants exigent un délai minimum de 6 semaines , our manufacturers require at least 6 weeks'notice
1411,criminel,criminal,nadj, l'incendie peut être d'origine criminelle , the fire might have a criminal origin 
1412,photo,photo,nf, je peux voir la photo? , can I see the photo? 
1413,précéder,to precede,v," la métaphysique ne doit pas précéder la physique, elle doit la suivre "," metaphysics shouldn't precede physics, it should follow it"
1414,solide,solid,nadj(f), nous avons une base solide sur laquelle bâtir , we have a solid foundation on which to build 
1415,correspondre,to correspond,v, j'espère que nous correspondrons , I hope we'll keep in touch 
1416,navire,ship,nm, je suis comme le capitaine d'un navire , I'm like the captain of a ship 
1417,centaine,hundred,nf, la pétition est signée par plusieurs centaines de résidents , the petition was signed by hundreds of residents
1418,explication,explanation,nf, il doit y avoir une explication rationnelle , there must be a rational explanation 
1419,transmettre,"to forward, transmit",v, voilà comment se transmettre les maladies! , that's how to transmit illnesses! 
1420,appareil,"apparatus, device",nm, place la bobine vierge sur l'appareil , place the empty reel on the machine 
1421,publication,publication,nf, vous pouvez parler de vos publications? , can you talk about your publications? 
1422,associer,to associate,v, le tabagisme n'était pas directement associé au cancer , smoking was not directly associated with cancer
1423,trait,"line, feature",nm," mon trait est très fin, comme des cheveux "," I have very fine features, like hair "
1424,référence,reference,nf, je n'ai pas compris sa référence aux oiseaux , I didn't understand his reference to the birds 
1425,bois,wood,nm(pl), tu attendras dans les bois que la nuit tombe , you will wait in the woods until nightfall 
1426,identifier,to identify,v, pouvez-vous identifier cet homme? , can you identify this man? 
1427,symbole,symbol,nm, je peux déchiffrer les symboles , I can decipher the symbols 
1428,consommation,consumption,nf, cela aura un impact sur la consommation , this will have an impact on consumption 
1429,idéal,ideal,nadj, j'ai eu une enfance idéale , I had an ideal childhood 
1430,chômage,unemployment,nm, le chômage chez les jeunes est devenu un grave problème , unemployment among the youth has become a serious problem
1431,courage,courage,nm, j'en ai pas le courage. je suis fatiguée , I don't have the courage. I'm tired 
1432,reconnaissance,"recognition, gratitude",nf, les fêtes musulmanes n'avaient aucune reconnaissance officielle , Moslem holidays weren't officially recognized at all
1433,entretien,"interview, discussion, maintenance",nm, je devais réaliser un entretien pour un mensuel , I had to conduct an interview for a monthly magazine
1434,encourager,to encourage,v," allez, encouragez notre petit gars ", go encourage our little guy 
1435,kilomètre,kilometer,nm, j'ai un jardin à vingt-cinq kilomètres de Paris , I have a garden 25 kilometers from Paris 
1436,dérouler,"to unwind, enroll",v, la cérémonie aurait dû se dérouler la veille , the ceremony should have taken place the night before
1437,identité,identity,nf, donnez-moi d'abord votre carte d'identité , first give me your identification card 
1438,amendement,amendment,nm, la Commission a accepté une partie des amendements , the commission accepted some of the amendments
1439,signaler,"to indicate, signal",v, il a signalé que la mission avait joué un rôle important , he pointed out that the mission played an important role
1440,division,division,nf, l'Irak disposait de trois divisions près de la frontière , Iraq had three divisions close to the border
1441,contexte,context,nm, comment tenez-vous compte du contexte social en thérapie? , how do you account for the social context in therapy?
1442,coupable,guilty,nadj(f)," aujourd'hui, tout le monde est coupable "," these days, everybody is guilty "
1443,favorable,favorable,adj(f), l'évolution a été particulièrement favorable , the evolution was particularly favorable 
1444,obligation,"obligation, bond",nf, nous avons une obligation morale de redresser les torts du passé , we have a moral obligation to right the wrongs of the past
1445,août,August,nm, je suis né en août , I was born in August 
1446,attribuer,"to award, grant, attribute",v, son mari attribuait cette apathie à sa naissance , her husband attributed this apathy to her birth
1447,courir,to run,v, je courus le long des docks , I ran along the docks 
1448,examen,exam,nm, on commence par faire un examen clinique , we'll start by doing a clinical exam 
1449,personnage,"character, individual",nm, les personnages de mes romans me jouent des tours , the characters in my novels play tricks on me
1450,dénoncer,to denounce,v, il s'attacha à dénoncer les abus et la corruption , he took up the cause of denouncing abuse and corruption
1451,inconnu,unknown,nadj, je me réveille dans des endroits inconnus , I wake up in unknown places 
1452,échanger,to exchange,v, les rebelles échangeront leurs prisonniers , the rebels will exchange their prisoners 
1453,montant,"upright, upwards, sum, total",nadj, on ignore le montant de ce contrat , we don't know the total amount of this contract 
1454,éliminer,to eliminate,v, nous sommes aussi parvenus à éliminer le déficit , we have also achieved elimination of the deficit
1455,ouverture,opening,nf, chaque ouverture de magasin crée une vingtaine d'emplois , every store we open creates about twenty jobs
1456,tableau,"frame, picture, painting, panel",nm, allez vérifier le tableau d'alerte , go check the alarm panel 
1457,exclure,to exclude,v, le projet de loi exclut ce type de mode de vie , the bill excludes this type of lifestyle 
1458,meurtre,murder,nm, vous êtes accusé de meurtre! , you are accused of murder! 
1459,exemplaire,exemplary; copy,nadj(f), j'en ai déjà vendu 100.000 exemplaires ," I already sold 100,000 copies of it "
1460,propriété,property,nf, vous êtes sur ma propriété , you're on my property 
1461,final,final,nadj, je me souviens de la séance finale , I remember the final showing 
1462,site,site,nm, combien de sites Internet avez-vous? , how many websites do you have? 
1463,séance,"session, meeting",nf, elle se souvient d'une séance particulièrement pénible , she remembers a particularly painful session
1464,durée,"length, duration",nf, il faudrait alors augmenter la durée du travail , then we would need to lengthen the work timeframe
1465,élire,to elect,v, les chefs sont élus pour représenter leur peuple , the chiefs are elected to represent their people
1466,baisse,"fall, drop",nf, il devrait y avoir une baisse d'autres impôts , there should be a drop in the other taxes 
1467,inquiétude,"worry, anxiety",nf, j'entretenais de sérieuses inquiétudes à ce sujet , I harbored serious anxiety on the project 
1468,israélien,Israeli,nadj, le camp de la paix israélien se divise en deux , the Israeli peace coalition has split in two 
1469,représentation,representation,nf, votre souci est la représentation des femmes , your concern is for the representation of women
1470,pareil,"similar, likewise; peer, equal",nadj, c'est toujours pareil , it's always the same 
1471,mandat,"term, mandate",nm, sa présence à un second mandat est inévitable , his presence in a second term is inevitable 
1472,quinze,fifteen,"det,nmi", David s'arrêta devant une tour de quinze étages , David stopped in front of a fifteen-story tower
1473,vide,empty,nadj(f)," je regrette, le frigo est vide "," I'm sorry, the fridge is empty "
1474,statut,status,nm, le jeune reste sous statut scolaire , the young man remains in student status 
1475,essai,"attempt, try, test",nm, ça demanderait un essai et je ne suis pas une spécialiste , that would require an essay and I'm not a specialist
1476,sourire,"smile, to smile","nm,v"," alors, pourquoi tu souris? ", so why are you smiling? 
1477,italien,Italian,nadj, c'est un génie particulier aux italiens , it's a type of genius that only Italians have 
1478,suggérer,to suggest,v, je voudrais suggérer de changer les horaires de travail , I would like to suggest a change in the working hours
1479,interrompre,to interrupt,v, je n'aime pas qu'on m'interrompe , I don't like being interrupted 
1480,au-dessus,above,adv, les avocats ne sont pas au-dessus des lois , lawyers are not above the law 
1481,agence,agency,nf, il a décidé de créer une agence , he decided to create an agency 
1482,usine,factory,nf, je rouvre une usine aux États-Unis , I'm reopening a factory in the U.S. 
1483,unir,to unite,v, le mariage devrait unir un homme et une femme , marriage should unite one man and one woman
1484,rang,"rank, row",nm, nous sommes assis au premier rang , we sat on the first row 
1485,employé,employee,nm, les patrons veulent des employés qualifiés , bosses want qualified employees 
1486,sommet,summit,nm, le sommet extraordinaire de Bruxelles n'était pas une fête , the special summit at Brussels was no picnic
1487,franchir,to get over,v, les Huns ont franchi notre frontière nord , the Huns broke through our northern border 
1488,évident,obvious,adj, ce n'était pas évident pour nous au début , it wasn't obvious to us at first 
1489,comportement,behavior,nm, leur comportement agressif et violent ne change pas , their aggressive and violent behavior is not changing
1490,fête,"holiday, celebration",nf, c'est une fête privée , it's a private party 
1491,sol,"floor, ground",nm, nous dormions sur le sol en béton , we were sleeping on the cement-covered ground 
1492,écarter,"to separate, move apart, keep away",v, les journalistes ont été écartés de l'intérieur du bâtiment , the reporters were kept away from the building's interior
1493,vague,vague; wave,"nadj(f),nf", ces vagues sont tellement puissantes! , these waves are so powerful! 
1494,réduction,reduction,nf, il parle aussi des réductions d'impôt , he's also talking about tax reductions 
1495,culturel,cultural,adj," la vie culturelle est appauvrie, terne et stagnante "," cultural life is impoverished, dull, and stagnant"
1496,coopération,cooperation,nf, nous ne bénéficions pas toujours d'une coopération sérieuse de leur part , we don't always enjoy serious cooperation on their behalf
1497,vertu,virtue,nf," la vertu et le vice, tout se confond "," virtue and vice, everything's getting mixed up "
1498,d'autant,since,notag, il lui est d'autant plus facile d'en acquérir d'autres , it's so much easier for him to buy other ones
1499,leader,leader,"nm,nf", il est très difficile d'être un leader autochtone , it's difficult to be a native leader 
1500,taille,"size, height",nf," je l'ai interrogée sur sa taille, sur son âge "," I asked her about her height, her age "
1501,contenu,contents,nadj, il faut réviser la réglementation quant au contenu francophone , we must revise the regulation of French-speaking content
1502,distance,distance,nf, la distance entre les villes est énorme , the distance between cities is enormous 
1503,automne,"fall, autumn",nm, on dirait un après-midi d'automne , it felt like an autumn afternoon 
1504,arrière,"back, rear","adji,adv,nm", mets tes cheveux en arrière , put your hair back 
1505,vision,"vision, view",nf, nous avons sur ce sujet une vision commune , we have a common view on this subject 
1506,investir,to invest,v, il veut y investir encore plus d'argent , he wants to invest even more money in it 
1507,diminuer,"to diminish, decrease",v, les investissements en provenance de l'extérieur diminuent , investments from abroad are decreasing
1508,réfugier,to take refuge,v, je m'étais réfugié dans une espèce d'esprit farceur , I sought refuge in a farcical mindset 
1509,entourer,to surround,v, il courut à lui et l'entoura de ses bras , he ran up to him and held him in his arms 
1510,juif,"Jew, Jewish",nadj, la société se retourne contre les juifs , society has turned against the Jews 
1511,considérable,"considerable, significant",adj(f), nous avons réalisé des progrès considérables , we achieved considerable progess 
1512,conduite,"behavior, driving",nf, certaines de mes conduites affectaient directement ma mère , some of my behavior directly affected my mother
1513,convention,"agreement, convention",nf, la convention relative aux droits de l'enfant , the convention on children's rights 
1514,communiquer,to communicate,v, mes fonctionnaires ont communiqué avec le ministère des finances , my public servants communicated with the finance minister
1515,prolonger,"to prolong, extend",v, quels sont les indicateurs d'une sécheresse prolongée? , what are the indications of a prolonged drought?
1516,verser,"to pour, deposit, shed",v, cette conversation sera versée au dossier , this conversation will be deposited into the record 
1517,évidence,evidence,nf, je souhaite que cette évidence pénètre les esprits , I hope this evidence will provoke minds 
1518,essentiellement,essentially,adv, votre métier est essentiellement une fonction de médiation , your trade is essentially a function of mediation
1519,démontrer,to demonstrate,v, il ne démontre aucun signe de compassion envers ces travailleurs , he shows no sign of compassion towards these workers
1520,négatif,negative,nadj, ils n'ont pas totalement une image négative , they don't have a completely negative image 
1521,approche,approach,nf, c'est là une approche équilibrée , that's a balanced approach 
1522,délai,delay,nm, je vous demande donc de prolonger le délai , I therefore ask you to extend the timeframe 
1523,accroître,to increase,v," évidemment, cela accroît le climat de tension "," apparently, this increased the tension "
1524,bruit,noise,nm, j'entends ce bruit horrible , I hear this horrible noise 
1525,humanité,humanity,nf, il ne faut pas renier notre humanité , we must not deny our humanity 
1526,radio,radio,"adji,nm,nf", j'éteins mon émetteur radio , I turn off my radio 
1527,moi-même,myself,pro, j'aimerais redevenir moi-même , I would like to become myself again 
1528,syndicat,union,nm, ça n'appartient pas au syndicat , that's not up to the union 
1529,prudent,"prudent, careful, cautious",adj, nous avons été très prudents dans nos demandes , we were very prudent in our requests 
1530,soirée,evening,nf, je rentre d'une soirée chez des amis , I'm going home from an evening at my friends' place 
1531,vol,"flight, theft",nm, il a pu prendre un autre vol , he was able to take another flight 
1532,marcher,to walk,v, elle se lève et elle marche comme ça , she gets up and walks like this 
1533,tiers,third,nadj(pl), elle est musulmane du tiers monde , she is a third-world Moslem 
1534,mètre,meter,nm, la zone cible fait seulement 2 mètres de large , the target zone is only two meters wide 
1535,aborder,"to reach, approach",v, je voudrais aborder la question sous un autre angle , I would like to address the issue from another angle
1536,occidental,western,nadj, peut-on être moderne sans être occidental? , can one be modern and not Western? 
1537,suffisant,sufficient,adj, cette motivation n'est toutefois pas suffisante ," still, these motives aren't enough "
1538,ciel,sky,nm, le ciel est resté bleu au-dessus de Paris , the sky remained blue over Paris 
1539,tromper,to deceive,v, oups! je me suis trompé ," oops, I made a mistake "
1540,modeste,modest,adj(f), ce serait un modeste pas dans la bonne voie , it would be a modest step in the right direction 
1541,éloigner,"to move away, take away, distance",v, il avait besoin de s'éloigner de sa femme , he needed to distance himself from his wife 
1542,seconde,second,"det,nf", au bout de quelques secondes tout reprend , after a few seconds everything started over again 
1543,malheureusement,unfortunately,adv, il y a malheureusement des criminels et des terroristes , unfortunately there are criminals and terrorists
1544,évaluer,to evaluate,v, nous évaluons des projets en fonction de leur pertinence , we evaluate projects based on their relevance
1545,extrêmement,extremely,adv, ce processus a été extrêmement lent , this process was extremely slow 
1546,interne,"internal, interior, intern",nadj(f)," chez les internes, sa renommée était moins prestigieuse ", among interns his renown was less prestigious
1547,voire,"even, indeed",adv," deux, trois cent millions. voire plus "," two, three billion. even more. "
1548,témoignage,testimony,nm, les contrôleurs aériens étudient les témoignages oculaires , the air traffic controllers are studying eyewitness testimony
1549,messieurs,gentlemen,nmpl," je vous remercie, messieurs, madame "," thank you, gentlemen, madam "
1550,effectivement,effectively,adv, c'est effectivement quelque chose qui nous préoccupe , indeed that's something we worry about
1551,gaz,gas,nm(pl), c'est un gaz mortel sans odeur ," it's a deadly, odorless gas "
1552,acteur,actor,nm, tu es le plus grand acteur au monde , you're the greatest actor in the world 
1553,adapter,to adapt,v, il dit savoir s'adapter à toutes les difficultés , he says he can adapt to any difficulty 
1554,cour,"yard, court",nf, ils m'attendaient dans la cour de la Sorbonne , they waited for me in the courtyard of the Sorbonne
1555,dépense,"expense, expenditure",nf, nous avons vu les dépenses publiques augmenter , we saw public expenditures increase 
1556,souci,"worry, concern",nm, nos petits soucis ne sont pas importants , our little concerns are not important 
1557,expert,expert,nadj, je ne prétends pas être expert en la matière , I don't pretend to be an expert on the topic 
1558,sœur,sister,nf, je suis la grande sœur mariée , I'm the elder married sister 
1559,relativement,relatively,adv, le trafic était dense mais relativement fluide , the traffic was heavy but relatively free-flowing 
1560,comparer,to compare,v, il est important de ne pas se comparer aux autres , it's important to not compare oneself to others
1561,procès,"trial, proceedings",nm(pl), un juge recommandait un nouveau procès , a judge recommended a new trial 
1562,provenir,"to be from, come from",v, la balle provient d'un revolver britannique , the bullet comes from a British revolver 
1563,réellement,really,adv, elle ne sait pas qui je suis réellement , she doesn't know who I really am 
1564,conscient,"conscious, aware",adj, nous sommes conscients des exigences économiques , we are aware of the economic demands
1565,céder,"to give up, give way",v, l'euro cède quelques fractions face au dollar , the euro lost some percentage points to the dollar
1566,médical,medical,adj," sans aide médicale, je vais mourir "," without medical help, I'll die "
1567,diviser,to divide,v, le reste se divisait en trois fractions sensiblement égales , the rest was divided in three largely equal amounts
1568,colère,anger,nf, je me sentis soudain très en colère contre mon père , I suddenly felt myself angry at my father
1569,patient,patient,nadj," la clinique a beaucoup de patients, mais je peux vous aider "," the clinic has many patients, but I can help you"
1570,notion,notion,nf," par contre, je n'ai aucune notion de médecine "," on the other hand, I have no clue about medicine"
1571,siège,"seat, bench",nm," puis je vous conduire à votre siège, monsieur? "," may I help you to your seat, sir? "
1572,hausse,"rise, raise, increase",nf, il faut s'attendre à une légère hausse des prix , a slight raise in prices is to be expected 
1573,mécanisme,mechanism,nm, il existe donc un mécanisme pour prévenir la fuite , thus there is a mechanism to prevent escapes
1574,traditionnel,traditional,adj, il faut maintenir des cultures traditionnelles , traditional cultures must be maintained 
1575,quart,quarter,nadj, le train part dans trois quarts d'heure , the train leaves in three-quarters of an hour 
1576,approcher,to approach,v, le gros monsieur s'approche de nous , the big man is approaching us 
1577,trafic,"traffic, circulation",nm," le week-end, en revanche, le trafic doit être normal "," on the other hand, during weekends traffic should be normal"
1578,catholique,Catholic,nadj(f), ma sœur était une fervente catholique , my sister was a devout Catholic 
1579,foyer,"home, hearth",nm, ils ont eu chacun un foyer , each of them had a home 
1580,adulte,adult,nadj(f), je me suis sentie devenir une adulte , I felt myself becoming an adult 
1581,reprocher,"to blame, reproach",v, nous lui avons reproché d'avoir manqué le sommet , we blame him for not having reached the summit
1582,métier,"job, occupation, trade",nm," c'est déjà plus qu'un métier, c'est une profession ", it's more than a job  
1583,modification,modification,nf, d'autres modifications sont aussi apportées à la convention , other changes were also made to the agreement
1584,peser,to weigh,v, il pesait lourd sur mon cœur , it weighed heavily on my heart 
1585,médias,media,nmpl, les médias vous ont comparée à Oprah Winfrey , the media has compared you to Oprah Winfrey
1586,hiver,winter,nm, tu ne peux pas passer l'hiver ici , you can't spend the winter here 
1587,définition,definition,nf, je voudrais savoir quelle est sa définition d'égalité , I would like to know his definition of equality
1588,spécialiste,specialist,nadj(f), il y a des spécialistes pour ça , there are specialists for that 
1589,mari,husband,nm, je suis un collègue de votre mari , I'm a colleague of your husband 
1590,supprimer,"to remove, withdraw",v," supprime ce paragraphe, cela ne changera rien ", delete this paragraph; that won't change anything
1591,guère,hardly,adv, mon travail n'avançait guère , my job was hardly going anywhere 
1592,douter,to doubt,v, il n'avait jamais douté de la victoire , he never doubted victory 
1593,ressentir,to feel,v," c'est alors qu'il ressentit, dans sa nuque, la douleur "," that's when he felt, on the back of his neck, a sharp pain"
1594,sexuel,sexual,adj, il y a des pervers sexuels partout , there are sexual perverts everywhere 
1595,consulter,to consult,v, je n'ai pas été consulté , I was not consulted 
1596,renseignement,information,nm, je cherche des renseignements sur la femme qui a été tuée , I'm seeking information on the woman who was killed
1597,âgé,old,adj, ces hommes sont tous très âgés maintenant , these men are all very old now 
1598,fonctionnement,"operation, functioning",nm, laissez-moi vous expliquer le fonctionnement de ce système , let me explain to you how the system works
1599,garçon,boy,nm, c'est un garçon unique , he's a unique boy 
1600,parfait,perfect,nadj, je suis en parfaite santé , I'm in perfect health 
